filename,text,label
complaint_58.txt,"reklamation - lieferung rechnung nr re-2290 lieferdatum 09.11.2025 bestellnummer po-4079 sehr geehrte damen und herren, mit bezug auf unsere bestellung vom 02.11.2025 müssen wir leider folgende mängel reklamieren - nicht gelieferte positionen fehlende fehlerhafte artikel modell abc, farbe silber statt schwarz bitte liefern sie die fehlenden korrekten artikel umgehend nach oder teilen sie uns mit, wie sie das problem lösen werden. wir erwarten ihre umgehende stellungnahme. mit freundlichen grüßen schmidt ag",complaint
complaint_64.txt,"qualitätsreklamation lieferung vom 11.11.2025 artikel software seriennummer sn-106510 sehr geehrte damen und herren, der gelieferte artikel weist folgende qualitätsmängel auf - beschädigung - montagefehler konkrete probleme display zeigt fehlermeldung wir fordern reparatur bitte teilen sie uns innerhalb von 3 werktagen mit, wie sie vorgehen werden. hochachtungsvoll becker logistik gmbh",complaint
complaint_70.txt,"qualitätsreklamation lieferung vom 11.11.2025 artikel software seriennummer sn-266081 sehr geehrte damen und herren, der gelieferte artikel weist folgende qualitätsmängel auf - nicht konform mit spezifikation - montagefehler konkrete probleme gerät startet nicht wir fordern preisminderung bitte teilen sie uns innerhalb von 3 werktagen mit, wie sie vorgehen werden. hochachtungsvoll hoffmann industries",complaint
complaint_126.txt,"qualitätsreklamation lieferung vom 11.11.2025 artikel elektrogerät seriennummer sn-388830 sehr geehrte damen und herren, der gelieferte artikel weist folgende qualitätsmängel auf - funktionsstörung - falsche dimensionen konkrete probleme gerät startet nicht wir fordern austausch bitte teilen sie uns innerhalb von 3 werktagen mit, wie sie vorgehen werden. hochachtungsvoll koch engineering",complaint
complaint_132.txt,"reklamation - lieferung rechnung nr re-9632 lieferdatum 09.11.2025 bestellnummer po-9034 sehr geehrte damen und herren, mit bezug auf unsere bestellung vom 02.11.2025 müssen wir leider folgende mängel reklamieren - falsche artikel fehlende fehlerhafte artikel modell abc, farbe silber statt schwarz bitte liefern sie die fehlenden korrekten artikel umgehend nach oder teilen sie uns mit, wie sie das problem lösen werden. wir erwarten ihre umgehende stellungnahme. mit freundlichen grüßen weber co. kg",complaint
complaint_133.txt,"qualitätsreklamation lieferung vom 11.11.2025 artikel maschinenteil seriennummer sn-125026 sehr geehrte damen und herren, der gelieferte artikel weist folgende qualitätsmängel auf - funktionsstörung - oberflächenfehler konkrete probleme display zeigt fehlermeldung wir fordern preisminderung bitte teilen sie uns innerhalb von 3 werktagen mit, wie sie vorgehen werden. hochachtungsvoll richter solutions ag",complaint
complaint_127.txt,"qualitätsreklamation lieferung vom 11.11.2025 artikel maschinenteil seriennummer sn-753529 sehr geehrte damen und herren, der gelieferte artikel weist folgende qualitätsmängel auf - beschädigung - oberflächenfehler konkrete probleme display zeigt fehlermeldung wir fordern preisminderung bitte teilen sie uns innerhalb von 3 werktagen mit, wie sie vorgehen werden. hochachtungsvoll becker logistik gmbh",complaint
complaint_71.txt,"qualitätsreklamation lieferung vom 11.11.2025 artikel elektrogerät seriennummer sn-724356 sehr geehrte damen und herren, der gelieferte artikel weist folgende qualitätsmängel auf - beschädigung - montagefehler konkrete probleme gerät startet nicht wir fordern austausch bitte teilen sie uns innerhalb von 3 werktagen mit, wie sie vorgehen werden. hochachtungsvoll schulz consulting",complaint
complaint_65.txt,"reklamation - lieferung rechnung nr re-4816 lieferdatum 09.11.2025 bestellnummer po-7650 sehr geehrte damen und herren, mit bezug auf unsere bestellung vom 02.11.2025 müssen wir leider folgende mängel reklamieren - nicht gelieferte positionen fehlende fehlerhafte artikel artikel xyz, menge 10 stück bitte liefern sie die fehlenden korrekten artikel umgehend nach oder teilen sie uns mit, wie sie das problem lösen werden. wir erwarten ihre umgehende stellungnahme. mit freundlichen grüßen krüger services",complaint
complaint_59.txt,"qualitätsreklamation lieferung vom 11.11.2025 artikel elektrogerät seriennummer sn-772814 sehr geehrte damen und herren, der gelieferte artikel weist folgende qualitätsmängel auf - beschädigung - falsche dimensionen konkrete probleme gerät startet nicht wir fordern preisminderung bitte teilen sie uns innerhalb von 3 werktagen mit, wie sie vorgehen werden. hochachtungsvoll lehmann group",complaint
